ID,Elevation,Slope,Ruggedness_Index,Forest_Age_Structure,Dis_Power_Lines,Dis_Log_Power_Lines,Dis_All_Roads,Dis_Log_All_Roads,Dis_All_Big_Roads,Dis_All_Log_Big_Roads,Dis_To_Mine,Dis_To_Log_Mine,Dis_Small_Roads,Dis_Log_Small_Roads,Broad_Leaved_Forest,Coniferous_Forest,Clear_Cut_Forest,Young_Forest,Mire,Lake,Flat_Areas,NE_Slop,SE_Slop,SW_Slop,NW_Slop,Pellet_Found_2009,Pellet_Found_2010
2,389,1.742046,2.16E-05,62,3606,8.190631681,111,4.718498871,1543,7.342131731,921,6.826545224,111,4.718498871,0,1,0,0,0,0,0,1,0,0,0,1,1
3,389,1.811248,5.93E-06,53,3535,8.170751424,206,5.332718793,1498,7.312553498,824,6.715383386,206,5.332718793,0,1,0,0,0,0,0,0,0,0,1,0,0
4,389,1.866953,1.32E-05,62,3464,8.150467912,250,5.525452939,1453,7.282073658,728,6.591673732,250,5.525452939,0,0,0,1,0,0,0,1,0,0,0,0,0
5,389,1.910344,7.52E-06,46,3394,8.13005904,212,5.361292166,1411,7.252762418,632,6.450470422,212,5.361292166,0,0,0,1,0,0,0,1,0,0,0,0,0
6,388,1.718358,5.72E-06,37,3326,8.109826276,141,4.955827058,1375,7.226936018,538,6.289715571,141,4.955827058,0,0,0,1,0,0,1,0,0,0,0,0,0
7,388,2.190075,7.63E-05,37,3259,8.089482474,70,4.262679877,1341,7.201916318,447,6.104793232,70,4.262679877,0,0,0,1,0,0,0,1,0,0,0,0,0
9,384,4.029545,0.000216484,32,3131,8.049427057,0,0,1252,7.133295955,282,5.645446898,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
10,377,5.438008,0.000246578,37,3070,8.02975852,50,3.931825633,1208,7.097548851,223,5.411646052,50,3.931825633,0,0,0,1,0,0,0,1,0,0,0,0,0
11,376,4.433861,7.93E-05,27,3005,8.00836557,100,4.615120517,1170,7.065613364,200,5.303304908,100,4.615120517,0,0,0,1,0,0,0,0,0,0,1,0,0
12,376,3.43363,4.19E-05,17,2934,7.984462732,100,4.615120517,1140,7.03966035,223,5.411646052,100,4.615120517,0,0,0,1,0,0,1,0,0,0,0,0,0
13,376,3.089118,9.72E-05,17,2864,7.960323629,50,3.931825633,1118,7.020190708,282,5.645446898,50,3.931825633,0,0,0,1,0,0,0,0,0,0,1,0,0
14,378,3.199601,0.000386238,17,2793,7.93522954,50,3.931825633,1092,6.996681488,360,5.888877958,50,3.931825633,0,0,0,1,0,0,0,1,0,0,0,0,1
15,374,4.887652,0.00017092,17,2724,7.910223707,0,0,1068,6.974478911,447,6.104793232,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
17,372,5.994093,0.0001457,13,2592,7.860570786,0,0,989,6.897704943,632,6.450470422,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
18,370,5.515724,0.000202815,12,2530,7.836369761,50,3.931825633,919,6.82437367,728,6.591673732,50,3.931825633,0,0,1,0,0,0,0,1,0,0,0,0,0
19,368,3.988871,0.000206524,12,2470,7.812378206,50,3.931825633,848,6.744059186,824,6.715383386,50,3.931825633,0,0,0,1,0,0,0,1,0,0,0,0,0
21,366,1.032802,0.000124931,17,2343,7.759614151,50,3.931825633,721,6.582025139,1019,6.927557906,50,3.931825633,0,0,0,1,0,0,0,1,0,0,0,0,0
22,363,1.032802,5.38E-05,16,2280,7.732369222,100,4.615120517,670,6.508769137,1118,7.020190708,100,4.615120517,0,0,1,0,0,0,0,1,0,0,0,1,0
23,362,2.504071,0.000220087,16,2220,7.705712824,141,4.955827058,626,6.440946541,1216,7.104144093,141,4.955827058,0,0,0,1,0,0,0,1,0,0,0,0,0
24,358,3.463236,0.000203768,8,2205,7.6989362,100,4.615120517,632,6.450470422,1323,7.188412736,100,4.615120517,0,0,0,1,0,0,0,1,0,0,0,0,0
25,355,2.560639,0.000320541,0,2152,7.674617497,100,4.615120517,604,6.405228458,1422,7.260522598,100,4.615120517,0,0,0,0,1,0,0,1,0,0,0,0,1
26,355,2.988215,0.000248167,0,2102,7.651120176,100,4.615120517,559,6.327936784,1520,7.327123292,100,4.615120517,0,0,0,0,1,0,0,1,0,0,0,0,0
27,353,2.437808,0.000188404,0,2057,7.629489916,141,4.955827058,522,6.259581464,1619,7.390181428,141,4.955827058,0,0,0,0,1,0,0,0,0,0,1,0,0
